"","Area","Title","Source","Collection","ID","A","B","C","C1","C2","D","E","F","G","H","H1","I","J","J1","J6","K1","K3","K7","L","M1","M3","M","N","MDS1","MDS2","MDS3"
"25","North Pacific","Coos 2","Jacobs, UWash, Vol. 8, 241","1932 at Florence, Oregon (a garbled rendering of a tale heard from JIm Buchanan).'",25,2,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249844325887677,-0.0121085503851385,-0.0551484765629049
"26","North Pacific","Coos 3","Jacobs, UWash, Vol. 8, 169f.","Collected 1933 from Mrs. Annie M. Peterson, Learned by her from a woman m South Slough, Oregon.Fragmentary.",26,4,1,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285639468286089,0.0330047872666895,-0.0877079908537549
"27","California","Maidu","Dixon, PAES, Vol. 4, 183, no. 10","1902-3",27,2,1,1,0,0,4,4,0,2,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0.134678459545066,-0.184862993632088,0.0210078282684335
"28","California","Patwin","Kroeber, UCal, VoL 29, 306.","1923",28,1,6,0,0,0,8,7,0,1,1,0,1,4,0,0,1,0,0,1,0,0,0,7,-0.183132509924754,0.599339361919518,-0.00867998724552929
"29","California","Washo 1","Lowie, UCal, Vol. 36, 350","1926, Coleville, Calif.",29,2,1,1,0,0,4,4,0,2,1,1,1,0,0,0,3,2,0,5,0,0,0,0,0.016495043393492,-0.0901415626817621,0.0923117635861099
"30","California","Washo 2","Curtis, The North American Illdian, Vol. IS, 154.","c.1910",30,2,1,0,0,0,4,2,6,2,0,0,1,0,0,0,3,2,0,3,0,0,4,0,0.000741653964998768,-0.208563799825101,0.248378035444547
"31","Plateau","Shoshone 1","Liljeblad manuscript, collected at Ft. Hall, Idaho, April 30, 1943, by Sven Liljeblad.-","n/a",31,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,10,6,1,1,0,0,0,0,0.297934560771275,-0.0371960264451338,-0.121246805025504
"32","Plateau","Shoshone 2","St. Clair-Lowie, JAFL, Vol. 22, 268, no. 6.","Collected before 1909 from Wind River Shoshone of Wyoming. The tale said not to be found among Lemhi Shoshone of Idaho",32,3,1,1,0,0,0,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,7,-0.0568684565131867,-0.0732783332193336,-0.00850356177189825
"33","Plateau","Wasco","Curtin, PAES, Vol. 2, 302, no. 6","Collected before 1909",33,5,1,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.436206258003757,-0.0282147326905647,0.021323558539355
"34","Plateau","Wishram","Spier and Sapir, UWash, Vol. 3, 276.","1905 in Yakima Reservation, from Mrs. Mabel Teio. Original home of tribe opposite the Dalles on Columbia River",34,2,1,1,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284565679682242,0.14326451851694,0.0473462092022606
"35","Plateau","Kutenai","Boas, BBAE, Vol. 59, 247 , no . 70","1914 among Upper Kutenai",35,3,1,1,0,0,4,4,1,1,1,1,1,0,0,0,3,0,0,2,0,0,0,0,0.121222887413349,0.00458956734540997,0.0146795467732165
"36","Plateau","Shuswap","Telt, JE, Vol. 2, 687","1900-- Fragmentary",36,2,1,1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345188287039111,0.186562944807253,-0.117627048428743
"37","Plains","Sarsi","Curtis, The Nortlt Amerz.c an Illdl.a ll, Vo I. 18 , 140","n/a",37,3,1,1,0,0,5,4,2,2,1,1,1,4,0,0,3,1,0,1,0,0,0,0,-0.0781774468742674,-0.0824558346680815,-0.0786960328935923
"38","Plains","Blackfoot 1","Wissler and Duvall, Pa AM , Vo I. 2, 58 , no . 3.","Collected 1903-7 in Montana",38,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,2,2,7,5,-0.0384750968272388,-0.199850817856049,-0.232767214002425
"39","Plains","Blackfoot 2","M.cC lintock ' The Old North Trail (London, 1910), p. 491","1905 in Montana",39,3,1,3,0,2,9,4,2,2,1,1,3,1,2,0,3,4,0,1,0,0,0,1,-0.0384750968273303,-0.199850817856127,-0.232767214002541
"40","Plains","Gros Ventre 1","Kroeber PaAM, VIo .1, 101 , no. 25","1901",40,3,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.239081062863498,0.0525542773204094,-0.0066765261264588
"41","Plains","Gros Ventre 2","Kroeber, PaAM, Vol. 1, 100, no. 24.","1901, Ft. Belknap Reservation, Northern Montana",41,3,3,1,0,0,1,1,10,2,1,1,1,4,0,0,3,2,0,1,0,0,0,6,-0.335911376194926,-0.0335866372553584,0.168439059893486
"42","Plains","Gros Ventre 3","Kroeber, PaAM, Vol. 1, 90, no. 21.","n/a",42,1,5,0,0,0,1,1,2,2,0,0,1,4,0,0,3,2,0,5,1,0,0,1,-0.53793845560969,-0.0185288732960442,-0.113807562705036
"43","Plains","Cree 1","Bloomfield, Nat. Mus. Can., Vol. 60, 177, no. 21","1925, Battleford Agency, Saskatchewan.",43,1,7,2,0,1,0,3,2,2,1,1,2,2,0,0,3,2,0,5,0,0,0,1,-0.370765255902524,-0.272804788577252,-0.346424689406656
"44","Plains","Cree 2","Bloomfield, Nat. Mus. Can., Vol. 60, 314, no. 34.","1925, Battleford Agency, Saskatchewan",44,2,1,0,0,0,4,4,4,1,0,0,2,2,0,0,10,6,0,1,0,3,0,3,0.322711758248397,-0.085635401804994,-0.0767492874977875
"45","Plains","Cree 3","Skinner, PaAM, Vol. 9, 113","1908 from Rupert House Cree (Southeast shore James Bay)",45,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129255107217541,0.121880250586224,-0.0200523070915845
"46","Plains","Assiniboine","Lowie, PaAM, Vol. 4, 171, no. 18","1907, Morley, Alberta",46,2,1,1,2,0,0,4,4,1,1,0,1,1,0,0,10,4,1,1,0,0,0,3,0.133247833998418,0.0513291094749264,-0.00807669497843483
"47","Plains","Arikara 1","Dorsey, CI, Vol. 17,45, no. 14.","1903, Ft. Berthold Reservation, North Dakota",47,3,3,1,1,0,1,4,3,2,1,3,1,2,0,0,3,2,0,5,0,0,0,1,-0.254910258559095,0.0268469007215154,-0.0804598932757451
"48","Plains","Arikara 2","Dorsey, CI, Vol. 17, 56, no. 15","1903, Ft. Berthold Reservation, North Dakota",48,3,1,1,1,0,4,4,0,2,1,1,1,2,0,0,3,2,0,5,0,0,0,1,-0.000206952877529839,-0.0851586353320295,0.0511861530145176
"49","Plains","Hidatsa 1","Lowie, DCal, Vol. 40, 2.","1910-11 at Ft. Berthold Reservation, North Dakota",49,3,5,0,0,0,1,1,0,2,3,1,1,0,0,0,3,2,0,5,1,0,0,1,-0.549156129096763,-0.0428278895668865,0.0445197541216335
"50","Plains","Hidatsa 2","Beckwith, MAFLS, Vol. 32, 117","1931",50,3,5,0,0,0,1,1,0,2,3,1,1,1,0,0,3,2,0,5,1,0,0,1,-0.549156129092973,-0.0428278895668184,0.0445197541213178
"51","Plains","Crow 1","Lowie, PaAM, Vol. 25, 52","1914, Crow Reservation,Montana",51,1,5,2,0,2,1,3,0,2,1,1,1,1,0,0,3,2,0,5,1,0,0,1,-0.540069052369704,-0.121880739393108,0.00208200627056664
"52","Plains","Crow 2","Lowie PaAM V I 25 57","1914, Crow Reservation, Montana",52,3,2,2,0,3,1,7,0,2,3,1,1,4,0,0,5,2,0,5,0,0,0,1,-0.596508212430462,0.147058502595423,0.108955923999124
"53","Plains","Crow 3","Lowie PaAM Vol 25 69","1914, Crow Reservation, Montana",53,3,2,2,0,2,2,7,0,2,3,1,1,4,0,0,3,2,0,5,2,0,0,1,-0.559717241999551,0.0955983510490507,0.271843899953047
"54","Plains","Crow 4","Simms FM, Vol. 2, 299, no. 17","1902 from an old man",54,1,5,2,0,2,1,3,0,2,3,0,1,4,0,0,5,2,0,5,0,0,0,1,-0.57524566923316,-0.10191902113855,-0.0600895505607448
"55","Plains","Cheyenne","Grinnell, JAFL, Vol. 34, 308","Collected ""many years"" before 1921from White Bull, a Northern Cheyenne",55,3,3,1,0,0,3,4,3,2,1,1,1,0,0,0,3,7,0,5,0,0,0,1,-0.242713386977406,0.00243606861694288,0.132778894399698
"56","Plains","Dakota 1","Riggs CNAE Vol 9 90","Santee Dakota 1837-1883",56,3,1,1,0,0,4,4,4,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1,0.00121462645759934,-0.0935446908931463,-0.00271180831295753
"57","Plains","Dakota 2","Wallis, JAFL, Vol. 36, 85, no 19","1914 at Griswold, Manitoba",57,3,0,0,0,0,0,5,0,2,1,1,1,0,0,0,6,0,0,5,0,0,0,1,-0.260129788743764,-0.0339740453206436,0.0279584866647686
"58","Plains","Arapaho 1","Dorsey and Kroeber, FM, Vol. 5,330, no. 135","before 1903",58,3,2,2,0,2,3,6,0,1,1,1,1,0,0,0,3,2,0,1,0,0,0,0,-0.382835223600334,0.271986295123613,0.338025967332546
"59","Plains","Arapaho 2","Dorsey, FM, Vol. 4, 212","1903",59,3,2,0,0,0,1,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,3,1,-0.484306266681178,0.0650728098665644,-0.0316225606691615
"60","Plains","Arapaho 3","Dorsey and Kroeber, FM, Vol. 5, 321, no. 134","collected before 1903",60,3,4,3,0,2,3,1,2,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1,-0.314495330784445,-0.220596551087922,0.0691256723717337
"61","Plains","Arapaho 4","Dorsey and Kroeber, FM, Vol. 5, 332, no. 136","collected before 1903",61,3,5,0,0,0,3,1,0,2,1,1,1,0,0,0,3,2,0,5,1,0,0,1,-0.496564555728432,-0.105025550580734,0.173245988437405
"62","Plains","Arapaho 5","Dorsey and Kroeber, FM, Vol. 5, 339, no. 137.","collected before 1903",62,1,2,0,0,0,1,1,2,2,0,0,3,0,0,0,3,2,0,1,1,0,0,1,-0.493580101757847,0.0645689068099905,-0.341755190249932
"63","Plains","Arapaho 6","Dorsey and Kroeber, FM, Vol. 5, 339, note 3.","collected before 1903",63,3,2,2,0,3,1,1,0,2,0,0,1,0,0,0,3,2,0,5,0,0,0,1,-0.557584136984091,0.12238273668596,-0.0017664125378591
"64","Plains","Arapaho 7","Dorsey.and Kroeber, FM, Vol. 5, 340, no. 138","collected before 1903",64,3,5,2,0,2,1,3,2,2,1,1,1,0,0,0,0,0,0,5,0,0,0,1,-0.497367524150244,-0.114786203053377,-0.0534623932729298
"65","Plains","Arapaho 8","Salzmann manuscript","July 1949 from John B. Goggles, aged 63 in Ethete, Wyoming, by Zdenek Salzmann",65,3,1,1,0,0,2,4,10,2,1,1,1,2,0,0,7,0,1,5,0,0,0,1,-0.0900430106477347,-0.0517581491591693,0.221657874433052
"66","Plains","Pawnee 1","Dorsey, CI, Vol. 59, 56, no, 13","c. 1902 in Oklahoma",66,3,1,1,1,0,4,4,0,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1,0.0217789838096016,-0.101703107758362,0.0483927479670607
"67","Plains","Pawnee 2","Dorsey, MAFLS, Vol. 8, 60, no. 16.","collected before 1904",67,3,1,1,1,0,4,4,1,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1,0.0289662300328383,-0.119500397158678,0.00827548552009651
"68","Plains","Pawnee 3","Grinnell, JAFL, Vol. 7, 197","""several years"" before 1894",68,3,1,1,1,0,4,4,0,2,1,0,1,0,0,0,3,2,0,5,0,0,0,1,0.0217789838096017,-0.101703107758362,0.0483927479670607
"69","Plains","Oto","Kercheval, JAFL, Vol. 6, 199","before 1893",69,2,1,1,0,0,4,4,7,1,1,0,1,3,0,0,3,1,0,1,0,0,0,0,0.15739132208752,0.0438795677500446,0.175721721547784
"70","Plains","Kiowa","Mooney, RBAE, Vol. 17, 238","1892 in Oklahoma",70,1,2,0,0,0,1,3,0,2,1,1,1,0,0,0,3,0,0,5,0,0,0,1,-0.530351642277927,0.0503312138461034,0.00162387122266208
"71","Plains","Wichita 1","Dorsey, CI, Vol. 21, 298, no. 57","1900-3 in Oklahom",71,1,1,0,0,0,4,4,1,1,1,2,1,5,0,1,3,8,0,1,0,0,6,0,0.133531497020216,0.0632875961176636,0.0589458822878694
"72","Plains","Wichita 2","Curtis, The North American Indian, Vol. 19, 102","n/a",72,1,1,1,2,0,4,4,1,1,0,0,0,0,0,0,3,8,0,1,0,0,6,0,0.267537079109664,0.0425973808036084,-0.0294337029692521
"73","Plains","Seama","Espinosa, J AFL, Vol. 49, 88","1931",73,1,7,0,0,0,0,3,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,7,-0.401768315176256,-0.247159943167688,-0.452419696464976
"74","Southeast","Caddo","Dorsey, CI, Vol. 41, 27, no. 14","1903-1905 in Oklahoma",74,1,1,1,1,0,4,4,1,1,0,0,2,5,0,2,3,9,0,1,0,0,6,0,0.279299645516472,0.0258551146719272,-0.156860222819077
"75","Southeast","Caddo 2","Dorsey, CI, Vol. 41, 29, no. 15","1903-5 in Oklahoma",75,1,1,0,0,0,4,4,1,1,1,2,1,5,0,3,3,8,0,1,0,0,0,0,0.133531497020216,0.0632875961176636,0.0589458822878694
"76","Southeast","Koasati","Swanton, BBAE, Vol. 88, 166, no. 4","1908-14",76,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.266949049485745,-0.0376653443814918,-0.0271141791104417
"77","Woodland","Ojibwa 1","Speck, GSCan, Vol. 9, 47","1913, Bear Island, Lake Timazami.-",77,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,8,6,0,1,0,0,0,3,0.297934560771275,-0.0371960264451338,-0.121246805025505
"78","Woodland","Ojibwa 2","Jones, JAFL, Vol. 29, 371, no. 15","before 1915 at Bois Fort, north of Lake Superiol",78,2,0,1,0,0,4,4,0,1,0,0,3,2,0,0,2,0,0,1,0,0,0,3,0.221827132090201,0.0938662392296862,-0.127895625771079
"79","Woodland","Ojibwa 3","Jones-Michelson, PAES, Vol. 7 (II), 151, no. 13","before 1919",79,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,2,0,0,1,0,0,0,3,0.297934560771275,-0.0371960264451338,-0.121246805025505
"80","Woodland","Ojibwa 4","Jones-Michelson, PAES, Vol. 7 (II), 455, no. 55","before 1919",80,2,1,1,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.266949049485746,-0.0376653443814918,-0.0271141791104419
"81","Woodland","Ojibwa 5","Radin and Reagan, JAFL, Vol. 41, 116, no. 22","1911-14 at Sarnia, Ontario",81,2,1,1,0,0,4,4,4,1,0,0,3,2,0,0,7,0,1,6,0,0,0,0,0.297934560771275,-0.0371960264451338,-0.121246805025505
"82","Woodland","Micmac 1","Rand, Legends of the Micmacs (New York, 1894), p. 160, no. 20","c. 1870 in Falmouth, Nova Scotia",82,2,1,1,0,0,4,4,5,1,4,0,0,4,0,0,7,0,0,1,0,0,0,3,0.333682331824487,-0.00346364441544235,-0.0188647999968547
"83","Woodland","Micmac 2","Rand, Legends of the Micmacs (New York, 1894), p. 306, no. 55","September 7, 1870 from Susan Christmas",83,2,1,1,0,0,4,4,12,1,5,2,1,0,0,0,0,0,0,1,0,0,0,3,0.224602459443592,0.0226605656090525,0.115803704142291
"84","Woodland","Micmac 3","Parsons, JAFL, Vol. 38, 65","Learned from a woman who died in 1895. People report hearing stories from her in 187",84,2,1,1,0,0,4,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289416954057604,-0.00684806384565629,0.0541105615372927
"85","Woodland","Passamaquoddy 1","Prince, PAES, Vol. 10, 61, no. 12","c. 1912 near Eastport, Maine",85,2,1,1,0,0,4,4,5,1,5,2,1,4,0,0,0,0,0,1,0,0,0,3,0.20921558763322,0.0566645914952575,0.0492846694958066
"86","Woodland","Passamaquoddy 2","Leland, Algonquin Legends of New England (Boston 1885), p.140","1882 at Campobello, New Brunswick",86,2,1,1,0,0,4,4,5,1,5,2,1,0,0,0,7,0,2,1,0,0,0,3,0.21578885808403,0.0309040703034852,0.0647116911723609
